path,bytes,role
.env.example,852,project file
.gitignore,310,project file
ai/__init__.py,0,AI layer
ai/assistant.py,968,AI layer
ai/bug_replay.py,1894,AI layer
ai/category_suggestion.py,2253,AI layer
ai/config.py,2216,AI layer
ai/evaluation.py,1668,AI layer
ai/external_providers.py,5664,AI layer
ai/extraction.py,5810,AI layer
ai/fallback.py,2901,AI layer
ai/ingestion.py,5526,AI layer
ai/mock_provider.py,17736,AI layer
ai/provider_interface.py,4451,AI layer
ai/registry.py,734,AI layer
ai/safe_logging.py,2603,AI layer
ai/summarisation.py,880,AI layer
app/__init__.py,0,project file
app/backend/__init__.py,0,backend
app/backend/server.py,14503,backend
app/backend/services.py,29769,backend
app/frontend/app.js,44516,frontend
app/frontend/index.html,1783,frontend
app/frontend/styles.css,11228,frontend
data/ground_truth.json,329414,synthetic dataset
data/synthetic_ai_runs.csv,121081,synthetic dataset
data/synthetic_cases.csv,170018,synthetic dataset
data/synthetic_documents/clean/DOC-0001_formal_notice.png,24144,synthetic document
data/synthetic_documents/clean/DOC-0004_employment_termination_letter.pdf,1753,synthetic document
data/synthetic_documents/clean/DOC-0006_formal_notice.png,25998,synthetic document
data/synthetic_documents/clean/DOC-0009_administrative_decision.docx,1449,synthetic document
data/synthetic_documents/clean/DOC-0010_employment_termination_letter.pdf,1695,synthetic document
data/synthetic_documents/clean/DOC-0012_shareholder_letter.pdf,1711,synthetic document
data/synthetic_documents/clean/DOC-0016_employment_termination_letter.pdf,1731,synthetic document
data/synthetic_documents/clean/DOC-0017_formal_notice.pdf,1877,synthetic document
data/synthetic_documents/clean/DOC-0018_formal_notice.docx,1425,synthetic document
data/synthetic_documents/clean/DOC-0019_formal_notice.docx,1494,synthetic document
data/synthetic_documents/clean/DOC-0024_formal_notice.png,26298,synthetic document
data/synthetic_documents/clean/DOC-0026_formal_notice.docx,1497,synthetic document
data/synthetic_documents/clean/DOC-0027_administrative_decision.pdf,1789,synthetic document
data/synthetic_documents/clean/DOC-0028_invoice_dispute_letter.docx,1495,synthetic document
data/synthetic_documents/clean/DOC-0029_employment_termination_letter.png,23806,synthetic document
data/synthetic_documents/clean/DOC-0030_court_summons.pdf,1820,synthetic document
data/synthetic_documents/clean/DOC-0031_formal_notice.docx,1443,synthetic document
data/synthetic_documents/clean/DOC-0033_formal_notice.pdf,1824,synthetic document
data/synthetic_documents/clean/DOC-0038_formal_notice.jpg,67442,synthetic document
data/synthetic_documents/clean/DOC-0039_employment_termination_letter.docx,1440,synthetic document
data/synthetic_documents/clean/DOC-0041_court_summons.docx,1500,synthetic document
data/synthetic_documents/clean/DOC-0042_invoice_dispute_letter.pdf,1733,synthetic document
data/synthetic_documents/clean/DOC-0043_formal_notice.jpg,64992,synthetic document
data/synthetic_documents/clean/DOC-0044_invoice_dispute_letter.docx,1475,synthetic document
data/synthetic_documents/clean/DOC-0045_formal_notice.docx,1482,synthetic document
data/synthetic_documents/clean/DOC-0046_formal_notice.docx,1449,synthetic document
data/synthetic_documents/clean/DOC-0047_court_summons.pdf,1721,synthetic document
data/synthetic_documents/clean/DOC-0048_court_summons.pdf,1786,synthetic document
data/synthetic_documents/clean/DOC-0049_invoice_dispute_letter.pdf,1772,synthetic document
data/synthetic_documents/clean/DOC-0052_formal_notice.docx,1458,synthetic document
data/synthetic_documents/clean/DOC-0053_formal_notice.pdf,1748,synthetic document
data/synthetic_documents/clean/DOC-0054_formal_notice.pdf,1758,synthetic document
data/synthetic_documents/clean/DOC-0055_court_summons.pdf,1770,synthetic document
data/synthetic_documents/clean/DOC-0056_formal_notice.docx,1459,synthetic document
data/synthetic_documents/clean/DOC-0058_formal_notice.docx,1446,synthetic document
data/synthetic_documents/clean/DOC-0060_administrative_decision.docx,1473,synthetic document
data/synthetic_documents/clean/DOC-0061_shareholder_letter.docx,1466,synthetic document
data/synthetic_documents/clean/DOC-0064_court_summons.png,24468,synthetic document
data/synthetic_documents/clean/DOC-0067_formal_notice.pdf,1776,synthetic document
data/synthetic_documents/clean/DOC-0069_shareholder_letter.png,25019,synthetic document
data/synthetic_documents/clean/DOC-0072_formal_notice.pdf,1773,synthetic document
data/synthetic_documents/clean/DOC-0074_formal_notice.pdf,1790,synthetic document
data/synthetic_documents/clean/DOC-0076_employment_termination_letter.pdf,1759,synthetic document
data/synthetic_documents/clean/DOC-0078_invoice_dispute_letter.png,26148,synthetic document
data/synthetic_documents/clean/DOC-0081_court_summons.pdf,1945,synthetic document
data/synthetic_documents/clean/DOC-0082_employment_termination_letter.docx,1447,synthetic document
data/synthetic_documents/clean/DOC-0083_formal_notice.docx,1443,synthetic document
data/synthetic_documents/clean/DOC-0084_court_summons.pdf,1713,synthetic document
data/synthetic_documents/clean/DOC-0085_formal_notice.docx,1446,synthetic document
data/synthetic_documents/clean/DOC-0087_employment_termination_letter.png,25075,synthetic document
data/synthetic_documents/clean/DOC-0088_formal_notice.pdf,1884,synthetic document
data/synthetic_documents/clean/DOC-0089_formal_notice.png,21899,synthetic document
data/synthetic_documents/clean/DOC-0092_invoice_dispute_letter.png,25549,synthetic document
data/synthetic_documents/clean/DOC-0095_formal_notice.png,27018,synthetic document
data/synthetic_documents/clean/DOC-0096_shareholder_letter.pdf,1753,synthetic document
data/synthetic_documents/clean/DOC-0097_formal_notice.docx,1384,synthetic document
data/synthetic_documents/clean/DOC-0099_formal_notice.jpg,65965,synthetic document
data/synthetic_documents/clean/DOC-0104_invoice_dispute_letter.pdf,1887,synthetic document
data/synthetic_documents/clean/DOC-0106_court_summons.pdf,1750,synthetic document
data/synthetic_documents/clean/DOC-0107_court_summons.pdf,1771,synthetic document
data/synthetic_documents/clean/DOC-0110_formal_notice.docx,1433,synthetic document
data/synthetic_documents/clean/DOC-0111_employment_termination_letter.docx,1453,synthetic document
data/synthetic_documents/clean/DOC-0115_formal_notice.docx,1461,synthetic document
data/synthetic_documents/clean/DOC-0118_formal_notice.pdf,1781,synthetic document
data/synthetic_documents/clean/DOC-0119_court_summons.docx,1501,synthetic document
data/synthetic_documents/clean/DOC-0121_court_summons.png,24494,synthetic document
data/synthetic_documents/clean/DOC-0124_employment_termination_letter.docx,1449,synthetic document
data/synthetic_documents/clean/DOC-0125_formal_notice.pdf,1738,synthetic document
