ai_run_id,document_id,case_id,task,detected_format,sample_variant,document_role,provider_requested,provider_used,fallback_used,fallback_reason,status,error_stage,error_code,confidence_score,intake_status,missing_count,conflict_count,processing_ms,latency_is_simulated,retry_of_run_id,bug_replay,started_at
1,1,1,extraction,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.92,Complete,0,0,1840.8,1,,"category_substring,docx_routing",2026-01-05T09:59:08
2,1,1,category_suggestion,png,clean,primary,mock-primary,mock-fallback,1,PROVIDER_TIMEOUT,success,,,0.7,,,,6198.0,1,,"category_substring,docx_routing",2026-01-05T09:59:08
3,1,1,summarisation,png,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-05T11:32:52
4,2,2,extraction,jpg,degraded,primary,mock-primary,mock-primary,0,,success,,,0.81,Complete,0,0,4077.1,1,,"category_substring,docx_routing",2026-01-06T09:50:58
5,2,2,category_suggestion,jpg,degraded,primary,mock-primary,mock-primary,0,,success,,,0.9,,,,303.1,1,,"category_substring,docx_routing",2026-01-06T09:50:58
6,2,2,summarisation,jpg,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-06T10:10:21
7,3,3,extraction,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.657,Missing Information,3,0,1905.0,1,,"category_substring,docx_routing",2026-01-06T12:19:57
8,3,3,category_suggestion,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,0.89,,,,296.0,1,,"category_substring,docx_routing",2026-01-06T12:19:57
9,3,3,summarisation,pdf,degraded,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-06T13:36:25
10,4,4,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.938,Complete,0,0,952.2,1,,"category_substring,docx_routing",2026-01-06T16:28:45
11,4,4,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.86,,,,214.3,1,,"category_substring,docx_routing",2026-01-06T16:28:45
12,5,5,extraction,png,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.731,Missing Information,2,0,2580.6,1,,"category_substring,docx_routing",2026-01-07T08:00:44
13,5,5,category_suggestion,png,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.9,,,,311.3,1,,"category_substring,docx_routing",2026-01-07T08:00:44
14,6,6,extraction,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,2268.2,1,,"category_substring,docx_routing",2026-01-07T11:31:12
15,6,6,category_suggestion,png,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,239.5,1,,"category_substring,docx_routing",2026-01-07T11:31:12
16,6,6,assistant,png,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,1.4,0,,,2026-01-07T12:55:06
17,7,,extraction,docx,missing_fields,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,810.2,1,,"category_substring,docx_routing",2026-01-07T15:41:53
18,8,,extraction,docx,contradictory,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,6797.1,1,,"category_substring,docx_routing",2026-01-07T16:37:41
19,9,,extraction,docx,clean,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,632.5,1,,"category_substring,docx_routing",2026-01-08T09:36:11
20,10,7,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.937,Complete,0,0,829.1,1,,"category_substring,docx_routing",2026-01-09T10:03:01
21,10,7,category_suggestion,pdf,clean,primary,mock-primary,mock-fallback,1,PROVIDER_TIMEOUT,success,,,0.85,,,,6298.2,1,,"category_substring,docx_routing",2026-01-09T10:03:01
22,10,7,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-01-09T11:14:36
23,11,,extraction,docx,missing_fields,primary,mock-primary,,0,,error,text_extraction,PARSE_ERROR,,,,,1449.4,1,,"category_substring,docx_routing",2026-01-09T11:40:20
24,10,7,assistant,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.1,0,,,2026-01-09T12:35:36
25,12,8,extraction,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.948,Complete,0,0,1090.3,1,,"category_substring,docx_routing",2026-01-09T14:07:12
26,12,8,category_suggestion,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,211.2,1,,"category_substring,docx_routing",2026-01-09T14:07:12
27,12,8,summarisation,pdf,clean,primary,mock-primary,mock-primary,0,,success,,,,,,,0.0,0,,,2026-01-09T15:00:04
28,13,9,extraction,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.898,Missing Information,1,0,1024.3,1,,"category_substring,docx_routing",2026-01-09T17:49:13
29,13,9,category_suggestion,pdf,missing_fields,primary,mock-primary,mock-primary,0,,success,,,0.95,,,,211.1,1,,"category_substring,docx_routing",2026-01-09T17:49:13
