ai_run_id,date_key,document_type_id,provider_id,task,document_role,status,is_success,is_error,error_stage,error_code,fallback_used,fallback_reason,confidence_score,confidence_band,intake_status,needs_review,missing_count,conflict_count,processing_ms,latency_is_simulated,is_retry,case_id
1,20260105,11,1,extraction,primary,success,1,0,,,0,,0.92,5. >= 0.90,Complete,0,0,0,1840.8,1,0,1
2,20260105,11,2,category suggestion,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.7,3. 0.70-0.79,,0,,,6198.0,1,0,1
3,20260105,11,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,1
4,20260106,10,1,extraction,primary,success,1,0,,,0,,0.81,4. 0.80-0.89,Complete,0,0,0,4077.1,1,0,2
5,20260106,10,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,303.1,1,0,2
6,20260106,10,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,2
7,20260106,3,1,extraction,primary,success,1,0,,,0,,0.657,2. 0.60-0.69,Missing Information,1,3,0,1905.0,1,0,3
8,20260106,3,1,category suggestion,primary,success,1,0,,,0,,0.89,4. 0.80-0.89,,0,,,296.0,1,0,3
9,20260106,3,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,3
10,20260106,1,1,extraction,primary,success,1,0,,,0,,0.938,5. >= 0.90,Complete,0,0,0,952.2,1,0,4
11,20260106,1,1,category suggestion,primary,success,1,0,,,0,,0.86,4. 0.80-0.89,,0,,,214.3,1,0,4
12,20260107,13,1,extraction,primary,success,1,0,,,0,,0.731,3. 0.70-0.79,Missing Information,1,2,0,2580.6,1,0,5
13,20260107,13,1,category suggestion,primary,success,1,0,,,0,,0.9,5. >= 0.90,,0,,,311.3,1,0,5
14,20260107,11,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,2268.2,1,0,6
15,20260107,11,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,239.5,1,0,6
16,20260107,11,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,1.4,0,0,6
17,20260107,7,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,810.2,1,0,
18,20260107,8,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,6797.1,1,0,
19,20260108,6,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,632.5,1,0,
20,20260109,1,1,extraction,primary,success,1,0,,,0,,0.937,5. >= 0.90,Complete,0,0,0,829.1,1,0,7
21,20260109,1,2,category suggestion,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.85,4. 0.80-0.89,,0,,,6298.2,1,0,7
22,20260109,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,7
23,20260109,7,3,extraction,primary,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,1449.4,1,0,
24,20260109,1,1,assistant,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,7
25,20260109,1,1,extraction,primary,success,1,0,,,0,,0.948,5. >= 0.90,Complete,0,0,0,1090.3,1,0,8
26,20260109,1,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,211.2,1,0,8
27,20260109,1,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,8
28,20260109,4,1,extraction,primary,success,1,0,,,0,,0.898,4. 0.80-0.89,Missing Information,1,1,0,1024.3,1,0,9
29,20260109,4,1,category suggestion,primary,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,211.1,1,0,9
30,20260109,4,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,9
31,20260110,3,2,extraction,supporting,success,1,0,,,1,PROVIDER_TIMEOUT,0.705,3. 0.70-0.79,Missing Information,1,1,0,7472.2,1,0,6
32,20260110,3,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,260.8,1,0,6
33,20260112,12,3,extraction,primary,error,0,1,ai provider,AI_UNAVAILABLE,1,PROVIDER_ERROR,,0. no output (error),,0,,,3785.3,1,0,
34,20260112,6,3,extraction,supporting,error,0,1,text extraction,PARSE_ERROR,0,,,0. no output (error),,0,,,567.4,1,0,1
35,20260112,12,1,extraction,primary,success,1,0,,,0,,0.727,3. 0.70-0.79,Missing Information,1,1,0,4025.3,1,1,10
36,20260112,12,2,category suggestion,primary,success,1,0,,,1,PROVIDER_TIMEOUT,0.4,1. < 0.60,,0,,,6222.0,1,0,10
37,20260112,12,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.1,0,0,10
38,20260113,4,1,extraction,primary,success,1,0,,,0,,0.829,4. 0.80-0.89,Missing Information,1,1,0,943.2,1,0,11
39,20260113,4,1,category suggestion,primary,success,1,0,,,0,,0.83,4. 0.80-0.89,,0,,,290.5,1,0,11
40,20260113,10,1,extraction,supporting,success,1,0,,,0,,0.897,4. 0.80-0.89,Complete,0,0,0,2850.7,1,0,10
41,20260113,10,1,category suggestion,supporting,success,1,0,,,0,,0.95,5. >= 0.90,,0,,,389.2,1,0,10
42,20260113,4,1,summarisation,primary,success,1,0,,,0,,,not applicable,,0,,,0.0,0,0,11
43,20260114,1,1,extraction,primary,success,1,0,,,0,,0.942,5. >= 0.90,Complete,0,0,0,1089.9,1,0,12
