event_id,date_key,event_type,event_group,entity_type,processing_status,error_code
1,20260105,document_uploaded,Document intake,document,success,
2,20260105,ai_extraction_completed,AI processing,ai_run,success,
3,20260105,human_review_submitted,Human review,case,,
4,20260105,case_created,Case lifecycle,case,Open,
5,20260105,summary_generated,AI assistance,case,success,
6,20260106,document_uploaded,Document intake,document,success,
7,20260106,ai_extraction_completed,AI processing,ai_run,success,
8,20260106,human_review_submitted,Human review,case,,
9,20260106,case_created,Case lifecycle,case,Open,
10,20260106,summary_generated,AI assistance,case,success,
11,20260106,document_uploaded,Document intake,document,success,
12,20260106,ai_extraction_completed,AI processing,ai_run,success,
13,20260106,human_review_submitted,Human review,case,,
14,20260106,case_created,Case lifecycle,case,Open,
15,20260106,summary_generated,AI assistance,case,success,
16,20260106,document_uploaded,Document intake,document,success,
17,20260106,ai_extraction_completed,AI processing,ai_run,success,
18,20260106,human_review_submitted,Human review,case,,
19,20260106,case_created,Case lifecycle,case,Open,
20,20260107,document_uploaded,Document intake,document,success,
21,20260107,ai_extraction_completed,AI processing,ai_run,success,
22,20260107,human_review_submitted,Human review,case,,
23,20260107,case_created,Case lifecycle,case,Awaiting information,
24,20260107,document_uploaded,Document intake,document,success,
25,20260107,ai_extraction_completed,AI processing,ai_run,success,
26,20260107,human_review_submitted,Human review,case,,
27,20260107,case_created,Case lifecycle,case,Open,
28,20260107,assistant_question,AI assistance,case,success,
29,20260107,document_uploaded,Document intake,document,error,
30,20260107,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
31,20260107,document_uploaded,Document intake,document,error,
32,20260107,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
33,20260108,document_uploaded,Document intake,document,error,
34,20260108,ai_extraction_failed,AI processing,ai_run,error,PARSE_ERROR
35,20260109,document_uploaded,Document intake,document,success,
36,20260109,ai_extraction_completed,AI processing,ai_run,success,
37,20260109,human_review_submitted,Human review,case,,
38,20260109,case_created,Case lifecycle,case,Open,
39,20260109,assistant_question,AI assistance,case,success,
40,20260109,document_uploaded,Document intake,document,error,
