field_id,ai_run_id,date_key,document_type_id,provider_id,field_name,field_label,confidence,is_missing,has_conflict,expected_present,found_when_present,is_scored,is_correct,is_reviewed,was_corrected
1,1,20260105,11,1,case_title,Case title,0.95,0,0,1,1,1,1,1,0
2,1,20260105,11,1,case_reference,Case reference,0.95,0,0,1,1,1,1,1,0
3,1,20260105,11,1,client_name,Client,0.95,0,0,1,1,1,1,1,0
4,1,20260105,11,1,opposing_party,Opposing party,0.95,0,0,1,1,1,1,1,0
5,1,20260105,11,1,document_type,Document type,0.93,0,0,1,1,1,1,1,0
6,1,20260105,11,1,jurisdiction,Jurisdiction,0.95,0,0,1,1,1,1,1,0
7,1,20260105,11,1,important_dates,Dates,0.95,0,0,1,1,1,1,1,0
8,1,20260105,11,1,amounts,Amounts,0.95,0,0,1,1,1,1,1,0
9,1,20260105,11,1,case_category,Category,0.7,0,0,1,1,1,1,1,0
10,4,20260106,10,1,case_title,Case title,0.946,0,0,1,1,1,1,1,0
11,4,20260106,10,1,case_reference,Case reference,0.946,0,0,1,1,1,1,1,0
12,4,20260106,10,1,client_name,Client,0.717,0,0,1,1,1,1,1,0
13,4,20260106,10,1,opposing_party,Opposing party,0.946,0,0,1,1,1,0,1,1
14,4,20260106,10,1,document_type,Document type,0.0,1,0,1,0,1,0,1,1
15,4,20260106,10,1,jurisdiction,Jurisdiction,0.946,0,0,1,1,1,0,1,1
16,4,20260106,10,1,important_dates,Dates,0.946,0,0,1,1,1,1,1,0
17,4,20260106,10,1,amounts,Amounts,0.946,0,0,1,1,1,1,1,0
18,4,20260106,10,1,case_category,Category,0.9,0,0,1,1,1,1,1,0
19,7,20260106,3,1,case_title,Case title,0.949,0,0,1,1,1,1,1,0
20,7,20260106,3,1,case_reference,Case reference,0.0,1,0,1,0,1,0,1,1
21,7,20260106,3,1,client_name,Client,0.949,0,0,1,1,1,1,1,0
22,7,20260106,3,1,opposing_party,Opposing party,0.949,0,0,1,1,1,1,1,0
23,7,20260106,3,1,document_type,Document type,0.929,0,0,1,1,1,1,1,0
24,7,20260106,3,1,jurisdiction,Jurisdiction,0.0,1,0,1,0,1,0,1,1
25,7,20260106,3,1,important_dates,Dates,0.3,0,0,1,1,1,0,1,1
26,7,20260106,3,1,amounts,Amounts,0.949,0,0,1,1,1,1,1,0
27,7,20260106,3,1,case_category,Category,0.89,0,0,1,1,1,1,1,0
28,10,20260106,1,1,case_title,Case title,0.95,0,0,1,1,1,1,1,0
29,10,20260106,1,1,case_reference,Case reference,0.95,0,0,1,1,1,1,1,0
30,10,20260106,1,1,client_name,Client,0.95,0,0,1,1,1,1,1,0
31,10,20260106,1,1,opposing_party,Opposing party,0.95,0,0,1,1,1,1,1,0
32,10,20260106,1,1,document_type,Document type,0.93,0,0,1,1,1,1,1,0
33,10,20260106,1,1,jurisdiction,Jurisdiction,0.95,0,0,1,1,1,1,1,0
34,10,20260106,1,1,important_dates,Dates,0.95,0,0,1,1,1,1,1,0
35,10,20260106,1,1,amounts,Amounts,0.95,0,0,1,1,1,1,1,0
36,10,20260106,1,1,case_category,Category,0.86,0,0,1,1,1,1,1,0
37,12,20260107,13,1,case_title,Case title,0.95,0,0,1,1,1,1,1,0
38,12,20260107,13,1,case_reference,Case reference,0.95,0,0,1,1,1,1,1,0
39,12,20260107,13,1,client_name,Client,0.95,0,0,1,1,1,1,1,0
40,12,20260107,13,1,opposing_party,Opposing party,0.95,0,0,1,1,1,1,1,0
41,12,20260107,13,1,document_type,Document type,0.93,0,0,1,1,1,1,1,0
42,12,20260107,13,1,jurisdiction,Jurisdiction,0.0,1,0,0,0,1,1,1,0
43,12,20260107,13,1,important_dates,Dates,0.95,0,0,1,1,1,1,1,0
44,12,20260107,13,1,amounts,Amounts,0.0,1,0,0,0,1,1,1,0
45,12,20260107,13,1,case_category,Category,0.9,0,0,1,1,1,1,1,0
46,14,20260107,11,1,case_title,Case title,0.95,0,0,1,1,1,1,1,0
47,14,20260107,11,1,case_reference,Case reference,0.95,0,0,1,1,1,1,1,0
48,14,20260107,11,1,client_name,Client,0.95,0,0,1,1,1,1,1,0
49,14,20260107,11,1,opposing_party,Opposing party,0.95,0,0,1,1,1,1,1,0
50,14,20260107,11,1,document_type,Document type,0.93,0,0,1,1,1,1,1,0
51,14,20260107,11,1,jurisdiction,Jurisdiction,0.95,0,0,1,1,1,1,1,0
52,14,20260107,11,1,important_dates,Dates,0.95,0,0,1,1,1,1,1,0
53,14,20260107,11,1,amounts,Amounts,0.95,0,0,1,1,1,1,1,0
54,14,20260107,11,1,case_category,Category,0.95,0,0,1,1,1,1,1,0
55,20,20260109,1,1,case_title,Case title,0.95,0,0,1,1,1,1,1,0
56,20,20260109,1,1,case_reference,Case reference,0.95,0,0,1,1,1,1,1,0
57,20,20260109,1,1,client_name,Client,0.95,0,0,1,1,1,1,1,0
58,20,20260109,1,1,opposing_party,Opposing party,0.95,0,0,1,1,1,1,1,0
59,20,20260109,1,1,document_type,Document type,0.93,0,0,1,1,1,1,1,0
60,20,20260109,1,1,jurisdiction,Jurisdiction,0.95,0,0,1,1,1,1,1,0
61,20,20260109,1,1,important_dates,Dates,0.95,0,0,1,1,1,1,1,0
62,20,20260109,1,1,amounts,Amounts,0.95,0,0,1,1,1,1,1,0
63,20,20260109,1,1,case_category,Category,0.85,0,0,1,1,1,1,1,0
64,25,20260109,1,1,case_title,Case title,0.95,0,0,1,1,1,1,1,0
65,25,20260109,1,1,case_reference,Case reference,0.95,0,0,1,1,1,1,1,0
66,25,20260109,1,1,client_name,Client,0.95,0,0,1,1,1,1,1,0
67,25,20260109,1,1,opposing_party,Opposing party,0.95,0,0,1,1,1,1,1,0
68,25,20260109,1,1,document_type,Document type,0.93,0,0,1,1,1,1,1,0
69,25,20260109,1,1,jurisdiction,Jurisdiction,0.95,0,0,1,1,1,1,1,0
70,25,20260109,1,1,important_dates,Dates,0.95,0,0,1,1,1,1,1,0
71,25,20260109,1,1,amounts,Amounts,0.95,0,0,1,1,1,1,1,0
72,25,20260109,1,1,case_category,Category,0.95,0,0,1,1,1,1,1,0
73,28,20260109,4,1,case_title,Case title,0.95,0,0,1,1,1,1,1,0
74,28,20260109,4,1,case_reference,Case reference,0.95,0,0,1,1,1,1,1,0
75,28,20260109,4,1,client_name,Client,0.95,0,0,1,1,1,1,1,0
76,28,20260109,4,1,opposing_party,Opposing party,0.95,0,0,1,1,1,1,1,0
77,28,20260109,4,1,document_type,Document type,0.93,0,0,1,1,1,1,1,0
78,28,20260109,4,1,jurisdiction,Jurisdiction,0.95,0,0,1,1,1,1,1,0
79,28,20260109,4,1,important_dates,Dates,0.5,0,0,1,1,1,1,1,0
80,28,20260109,4,1,amounts,Amounts,0.95,0,0,1,1,1,1,1,0
81,28,20260109,4,1,case_category,Category,0.95,0,0,1,1,1,1,1,0
82,31,20260110,3,2,case_title,Case title,0.85,0,0,1,1,1,0,0,
83,31,20260110,3,2,case_reference,Case reference,0.85,0,0,1,1,1,1,0,
84,31,20260110,3,2,client_name,Client,0.85,0,0,1,1,1,0,0,
85,31,20260110,3,2,opposing_party,Opposing party,0.85,0,0,1,1,1,0,0,
86,31,20260110,3,2,document_type,Document type,0.85,0,0,1,1,1,1,0,
87,31,20260110,3,2,jurisdiction,Jurisdiction,0.85,0,0,1,1,1,0,0,
88,31,20260110,3,2,important_dates,Dates,0.299,0,0,1,1,1,0,0,
89,31,20260110,3,2,amounts,Amounts,0.0,1,0,1,0,1,0,0,
90,31,20260110,3,2,case_category,Category,0.95,0,0,1,1,1,1,0,
91,35,20260112,12,1,case_title,Case title,0.946,0,0,1,1,1,1,1,0
92,35,20260112,12,1,case_reference,Case reference,0.946,0,0,1,1,1,1,1,0
93,35,20260112,12,1,client_name,Client,0.946,0,0,1,1,1,1,1,0
94,35,20260112,12,1,opposing_party,Opposing party,0.717,0,0,1,1,1,1,1,0
95,35,20260112,12,1,document_type,Document type,0.927,0,0,1,1,1,1,1,0
96,35,20260112,12,1,jurisdiction,Jurisdiction,0.946,0,0,1,1,1,1,1,0
97,35,20260112,12,1,important_dates,Dates,0.717,0,0,1,1,1,0,1,1
98,35,20260112,12,1,amounts,Amounts,0.0,1,0,1,0,1,0,1,1
99,35,20260112,12,1,case_category,Category,0.4,0,0,1,1,1,1,1,0
