review_id,case_id,date_key,document_type_id,reviewer,review_type,decision,intake_status,fields_reviewed,fields_corrected,category_changed,review_seconds,is_simulated
1,1,20260105,11,reviewer_01,intake validation,Approved,Complete,9,0,0,47,1
2,2,20260106,10,reviewer_02,intake validation,Approved with corrections,Complete,9,3,0,118,1
3,3,20260106,3,reviewer_02,intake validation,Approved with corrections,Missing Information,9,3,0,156,1
4,4,20260106,1,reviewer_03,intake validation,Approved,Complete,9,0,0,71,1
5,5,20260107,13,reviewer_04,intake validation,Approved,Missing Information,9,0,0,78,1
6,6,20260107,11,reviewer_02,intake validation,Approved,Complete,9,0,0,55,1
7,7,20260109,1,reviewer_01,intake validation,Approved,Complete,9,0,0,72,1
8,8,20260109,1,reviewer_03,intake validation,Approved,Complete,9,0,0,55,1
9,9,20260109,4,reviewer_04,intake validation,Approved,Missing Information,9,0,0,65,1
10,10,20260112,12,reviewer_02,intake validation,Approved with corrections,Missing Information,9,2,0,98,1
11,11,20260113,4,reviewer_03,intake validation,Approved,Missing Information,9,0,0,72,1
12,12,20260114,1,reviewer_04,intake validation,Approved,Complete,9,0,0,52,1
13,13,20260114,1,reviewer_04,intake validation,Approved,Complete,9,0,0,70,1
14,14,20260116,2,reviewer_01,intake validation,Approved,Complete,9,0,0,41,1
15,15,20260116,3,reviewer_02,intake validation,Approved,Complete,9,0,0,38,1
16,16,20260119,2,reviewer_04,intake validation,Approved,Complete,9,0,0,64,1
17,17,20260119,11,reviewer_04,intake validation,Approved,Complete,9,0,0,46,1
18,18,20260120,3,reviewer_04,intake validation,Approved with corrections,Complete,9,2,0,86,1
19,19,20260121,1,reviewer_04,intake validation,Approved,Complete,9,0,0,58,1
20,20,20260121,11,reviewer_03,intake validation,Approved,Complete,9,0,0,50,1
21,21,20260122,1,reviewer_04,intake validation,Approved,Complete,9,0,0,68,1
22,22,20260122,10,reviewer_03,intake validation,Approved with corrections,Missing Information,9,2,0,128,1
23,23,20260123,1,reviewer_04,intake validation,Approved,Complete,9,0,0,64,1
24,24,20260126,2,reviewer_03,intake validation,Approved,Complete,9,0,0,63,1
25,25,20260127,2,reviewer_01,intake validation,Approved,Complete,9,0,0,59,1
26,26,20260128,2,reviewer_04,intake validation,Approved,Complete,9,0,0,60,1
27,27,20260128,9,reviewer_03,intake validation,Approved with corrections,Complete,9,1,1,88,1
28,28,20260130,1,reviewer_04,intake validation,Approved with corrections,Complete,9,1,1,96,1
29,29,20260203,9,reviewer_02,intake validation,Approved,Complete,9,0,0,43,1
30,30,20260204,1,reviewer_01,intake validation,Approved,Complete,9,0,0,70,1
31,31,20260204,1,reviewer_04,intake validation,Approved,Complete,9,0,0,69,1
32,32,20260205,1,reviewer_04,intake validation,Approved,Complete,9,0,0,36,1
33,33,20260206,2,reviewer_02,intake validation,Approved,Complete,9,0,0,70,1
34,34,20260206,4,reviewer_03,intake validation,Approved with corrections,Missing Information,9,1,1,87,1
35,35,20260206,1,reviewer_01,intake validation,Approved,Complete,9,0,0,72,1
36,36,20260206,1,reviewer_04,intake validation,Approved,Complete,9,0,0,73,1
37,37,20260209,1,reviewer_04,intake validation,Approved,Complete,9,0,0,36,1
38,38,20260210,3,reviewer_01,intake validation,Approved with corrections,Missing Information,9,4,0,178,1
39,39,20260213,4,reviewer_02,intake validation,Approved,Missing Information,9,0,0,90,1
40,4,20260215,1,reviewer_03,post creation edit,Approved,Complete,1,0,0,,0
41,40,20260216,11,reviewer_02,intake validation,Approved,Complete,9,0,0,52,1
42,24,20260216,2,reviewer_03,post creation edit,Approved,Complete,1,0,0,,0
43,41,20260216,6,reviewer_03,intake validation,Approved,Complete,9,0,0,72,1
44,42,20260216,7,reviewer_02,intake validation,Approved,Missing Information,9,0,0,81,1
45,43,20260216,8,reviewer_02,intake validation,Approved with corrections,Needs Review,9,1,0,58,1
46,44,20260216,6,reviewer_01,intake validation,Approved,Complete,9,0,0,38,1
47,45,20260217,7,reviewer_02,intake validation,Approved,Missing Information,9,0,0,71,1
48,46,20260217,3,reviewer_04,intake validation,Approved with corrections,Complete,9,2,0,116,1
49,47,20260217,6,reviewer_02,intake validation,Approved,Complete,9,0,0,37,1
50,48,20260217,6,reviewer_01,intake validation,Approved,Complete,9,0,0,55,1
51,49,20260217,2,reviewer_03,intake validation,Approved,Complete,9,0,0,38,1
52,50,20260217,6,reviewer_04,intake validation,Approved,Complete,9,0,0,53,1
53,51,20260218,6,reviewer_03,intake validation,Approved,Complete,9,0,0,73,1
54,52,20260218,8,reviewer_02,intake validation,Approved with corrections,Needs Review,9,1,0,80,1
55,53,20260218,7,reviewer_02,intake validation,Approved,Missing Information,9,0,0,65,1
56,54,20260218,6,reviewer_01,intake validation,Approved,Complete,9,0,0,45,1
57,55,20260218,8,reviewer_02,intake validation,Approved with corrections,Needs Review,9,1,0,87,1
58,56,20260218,6,reviewer_01,intake validation,Approved,Complete,9,0,0,40,1
59,57,20260218,6,reviewer_03,intake validation,Approved,Complete,9,0,0,38,1
60,58,20260218,6,reviewer_04,intake validation,Approved,Complete,9,0,0,73,1
61,59,20260218,6,reviewer_03,intake validation,Approved,Complete,9,0,0,60,1
62,60,20260218,1,reviewer_02,intake validation,Approved,Complete,9,0,0,65,1
63,61,20260218,8,reviewer_04,intake validation,Approved with corrections,Needs Review,9,1,0,82,1
64,62,20260218,6,reviewer_01,intake validation,Approved,Complete,9,0,0,53,1
65,63,20260219,6,reviewer_03,intake validation,Approved,Complete,9,0,0,44,1
66,64,20260219,6,reviewer_04,intake validation,Approved,Complete,9,0,0,70,1
67,65,20260219,6,reviewer_03,intake validation,Approved,Complete,9,0,0,60,1
68,66,20260219,8,reviewer_02,intake validation,Approved with corrections,Needs Review,9,1,0,96,1
69,67,20260219,6,reviewer_03,intake validation,Approved,Complete,9,0,0,38,1
70,68,20260219,4,reviewer_01,intake validation,Approved,Needs Review,9,0,0,46,1
71,69,20260219,11,reviewer_02,intake validation,Approved,Complete,9,0,0,61,1
72,70,20260219,7,reviewer_01,intake validation,Approved,Missing Information,9,0,0,73,1
73,71,20260219,3,reviewer_03,intake validation,Approved with corrections,Complete,9,3,0,133,1
