result_id,test_run_id,run_label,run_description,run_order,date_key,scenario_code,status,is_pass,is_fail,is_regression,failure_category,bug_replay,duration_ms
1,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 001,PASS,1,0,0,extraction accuracy,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",259.3
2,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 002,FAIL,0,1,0,document routing,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",281.0
3,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 003,PASS,1,0,0,ocr processing,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",202.1
4,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 004,PASS,1,0,0,robustness,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",245.2
5,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 005,FAIL,0,1,0,missing field handling,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",243.0
6,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 006,FAIL,0,1,0,date normalisation,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",250.1
7,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 007,FAIL,0,1,0,provider fallback,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",217.5
8,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 008,PASS,1,0,0,error handling,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",216.7
9,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 009,FAIL,0,1,0,duplicate prevention,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",259.3
10,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 010,PASS,1,0,0,human review persistence,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",251.9
11,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 011,PASS,1,0,0,input validation,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",227.7
12,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 012,PASS,1,0,0,input validation,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",260.2
13,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 013,FAIL,0,1,0,document routing,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",603.5
14,1,#1 0.4.0,v0.4 baseline - bug replay (5 synthetic bugs),1,20260212,TEST 014,FAIL,0,1,0,regression,"category_substring,docx_routing,duplicate_no_idempotency,fallback_mislabel,missing_as_zero",288.9
